index,epid,full_name,full_name_title,first_name,last_name,country,eugroup,party,birthdate,gender,committee,substitute,delegation,email,has_general_expenditure_allowance,has_private_interests_declarations,events_declaration_docs,events_declaration_num,GEA_links,DPI_links,source,eugroup_full,committee_full,substitute_full,delegation_full,wikipedia_url,wikidata_ids
14,204332,Barry ANDREWS,Barry Andrews,Barry,ANDREWS,Ireland,RE,Fianna Fáil Party,16-05-1967,M,"['DEVE', 'ITRE']",['DROI'],"['DPAL', 'D-UK']",barry.andrews@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 17-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/edb14a6d-b516-435e-bc11-cada3b9c89be_1721211601615.pdf'}]",integrity_watch,Renew Europe Group,"['Committee on Development', 'Committee on Industry, Research and Energy']",['Subcommittee on Human Rights'],"['Delegation for relations with Palestine', 'Delegation to the EU-UK Parliamentary Partnership Assembly']",https://en.wikipedia.org/wiki/Barry_Andrews_(politician),Q3777503
81,124984,Lynn BOYLAN,Lynn Boylan,Lynn,BOYLAN,Ireland,GUE/NGL,Sinn Féin,29-11-1976,F,"['INTA', 'ENVI']",[],"['DPAL', 'D-IL']",lynn.boylan@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/0a20b560-c348-401d-9a1a-5b248f04c73a_1718887236552.pdf'}]",integrity_watch,The Left group in the European Parliament,"['Committee on International Trade', 'Committee on Environment, Public Health and Food Safety']",[],"['Delegation for relations with Palestine', 'Delegation for relations with Israel']",https://en.wikipedia.org/wiki/Lynn_Boylan,Q16945605
104,257296,Nina CARBERRY,Nina Carberry,Nina,CARBERRY,Ireland,EPP,Fine Gael Party,21-07-1984,F,['TRAN'],"['INTA', 'BUDG']","['D-UK', 'D-JP']",nina.carberry@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 24-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/d4251b7c-c112-45be-9116-3cccd3eea9b7_1721832000282.pdf'}]",integrity_watch,Group of the European People's Party,['Committee on Transport and Tourism'],"['Committee on International Trade', 'Committee on Budgets']","['Delegation to the EU-UK Parliamentary Partnership Assembly', 'Delegation for relations with Japan']",https://en.wikipedia.org/wiki/Nina_Carberry,Q7037886
132,257297,Barry COWEN,Barry Cowen,Barry,COWEN,Ireland,RE,Fianna Fáil Party,28-08-1967,M,['AGRI'],['INTA'],"['DANZ', 'D-ZA']",barry.cowen@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/a39dfe92-86dd-4d53-9b97-24ef11436923_1721085746748.pdf'}]",integrity_watch,Renew Europe Group,['Committee on Agriculture and Rural Development'],['Committee on International Trade'],"['Delegation for relations with Australia and New Zealand', 'Delegation for relations with South Africa']",https://en.wikipedia.org/wiki/Barry_Cowen,Q4864133
158,257237,Regina DOHERTY,Regina Doherty,Regina,DOHERTY,Ireland,EPP,Fine Gael Party,26-01-1971,F,"['FISC', 'IMCO']","['ECON', 'EMPL']","['DSAS', 'DASE']",regina.doherty@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/202e2e94-19d3-4db3-ad75-ec45e18ec3db_1721085760380.pdf'}]",integrity_watch,Group of the European People's Party,"['Subcommittee on Tax Matters', 'Committee on Internal Market and Consumer Protection']","['Committee on Economic and Monetary Affairs', 'Committee on Employment and Social Affairs']","['Delegation for relations with the countries of South Asia', 'Delegation for relations with the countries of Southeast Asia and the Association of Southeast Asian Nations (ASEAN)']",https://en.wikipedia.org/wiki/Regina_Doherty,Q7308461
192,124985,Luke Ming FLANAGAN,Luke Ming Flanagan,Luke Ming,FLANAGAN,Ireland,GUE/NGL,Independent,22-01-1972,M,['AGRI'],"['IMCO', 'PECH']","['DMER', 'D-UK']",lukeming.flanagan@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/304fbac6-0d2f-44a7-8a46-967d1db156b6_1720101694417.pdf'}]",integrity_watch,The Left group in the European Parliament,['Committee on Agriculture and Rural Development'],"['Committee on Internal Market and Consumer Protection', 'Committee on Fisheries']","['Delegation for relations with Mercosur', 'Delegation to the EU-UK Parliamentary Partnership Assembly']",https://en.wikipedia.org/wiki/Luke_'Ming'_Flanagan,Q3778169
202,257299,Kathleen FUNCHION,Kathleen Funchion,Kathleen,FUNCHION,Ireland,GUE/NGL,Sinn Féin,22-04-1981,F,['REGI'],"['EMPL', 'FEMM']","['D-UK', 'D-US']",kathleen.funchion@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/ad8509d6-bbc6-4caa-99f1-f84474b47636_1721085735531.pdf'}]",integrity_watch,The Left group in the European Parliament,['Committee on Regional Development'],"['Committee on Employment and Social Affairs', ""Committee on Women's Rights and Gender Equality""]","['Delegation to the EU-UK Parliamentary Partnership Assembly', 'Delegation for relations with the United States']",https://en.wikipedia.org/wiki/Kathleen_Funchion,Q23006297
312,197818,Billy KELLEHER,Billy Kelleher,Billy,KELLEHER,Ireland,RE,Fianna Fáil Party,20-01-1968,M,"['ECON', 'FISC']","['ENVI', 'JURI', 'FEMM', 'SANT']",['D-US'],billy.kelleher@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/b76786f0-2b83-43cc-81e7-1ad4591198a5_1718628002669.pdf'}]",integrity_watch,Renew Europe Group,"['Committee on Economic and Monetary Affairs', 'Subcommittee on Tax Matters']","['Committee on Environment, Public Health and Food Safety', 'Committee on Legal Affairs', ""Committee on Women's Rights and Gender Equality"", 'Subcommittee on Public Health']",['Delegation for relations with the United States'],https://en.wikipedia.org/wiki/Billy_Kelleher,Q559402
314,96668,Seán KELLY,Seán Kelly,Seán,KELLY,Ireland,EPP,Fine Gael Party,26-04-1952,M,['ITRE'],"['AFET', 'ENVI']","['DANZ', 'D-IN']",sean.kelly@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/e8de7c37-ccbd-48a1-93ce-ed58e166795a_1718730007500.pdf'}]",integrity_watch,Group of the European People's Party,"['Committee on Industry, Research and Energy']","['Committee on Foreign Affairs', 'Committee on Environment, Public Health and Food Safety']","['Delegation for relations with Australia and New Zealand', 'Delegation for relations with India']",https://en.wikipedia.org/wiki/Seán_Kelly_(Irish_politician),Q1381218
403,257300,Michael MCNAMARA,Michael McNamara,Michael,MCNAMARA,Ireland,RE,Independent,01-03-1974,M,['LIBE'],['ITRE'],"['DSAS', 'D-UK']",michael.mcnamara@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 18-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/c679c8b3-e4d3-4c58-94bd-e9b511fecc25_1721314800702.pdf'}]",integrity_watch,Renew Europe Group,"['Committee on Civil Liberties, Justice and Home Affairs']","['Committee on Industry, Research and Energy']","['Delegation for relations with the countries of South Asia', 'Delegation to the EU-UK Parliamentary Partnership Assembly']",https://en.wikipedia.org/wiki/Michael_McNamara_(politician),Q6832776
432,257298,Ciaran MULLOOLY,Ciaran Mullooly,Ciaran,MULLOOLY,Ireland,RE,Independent,04-09-1966,M,['REGI'],['AGRI'],[],ciaran.mullooly@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/5918f3c3-6cd8-4ac5-acc6-a8cbabe027ef_1721085637516.pdf'}]",integrity_watch,Renew Europe Group,['Committee on Regional Development'],['Committee on Agriculture and Rural Development'],[],https://en.wikipedia.org/wiki/Ciaran_Mullooly,Q126616226
451,257301,Cynthia NÍ MHURCHÚ,Cynthia Ní Mhurchú,Cynthia,NÍ MHURCHÚ,Ireland,RE,Fianna Fáil Party,,F,"['IMCO', 'PETI']",['TRAN'],"['D-CA', 'D-IR', 'DACP', 'DAFR', 'DCAB']",cynthia.nimhurchu@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 22-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/445f1660-cad0-4ad1-a6a3-d729025c486a_1721666400294.pdf'}]",integrity_watch,Renew Europe Group,"['Committee on Internal Market and Consumer Protection', 'Committee on Petitions']",['Committee on Transport and Tourism'],"['Delegation for relations with Canada', 'Delegation for relations with Iran', 'Delegation to the OACPS-EU Joint Parliamentary Assembly', 'Delegation to the Africa-EU Parliamentary Assembly', 'Delegation to the Caribbean-EU Parliamentary Assembly']",https://en.wikipedia.org/wiki/Cynthia_Ní_Mhurchú,Q926087
464,257238,Aodhán Ó RÍORDÁIN,Aodhán Ó Ríordáin,Aodhán,Ó RÍORDÁIN,Ireland,S&D,Labour Party,22-07-1976,M,['EMPL'],['LIBE'],['D-UK'],aodhan.oriordain@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/d8bb167b-2a1e-4268-8917-fb89dbb084ca_1721085670279.pdf'}]",integrity_watch,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,['Committee on Employment and Social Affairs'],"['Committee on Civil Liberties, Justice and Home Affairs']",['Delegation to the EU-UK Parliamentary Partnership Assembly'],https://en.wikipedia.org/wiki/Aodhán_Ó_Ríordáin,Q4778602
680,197863,Maria WALSH,Maria Walsh,Maria,WALSH,Ireland,EPP,Fine Gael Party,11-06-1987,F,"['AGRI', 'FEMM']","['REGI', 'LIBE']","['D-US', 'DACP', 'DAFR']",maria.walsh@europarl.europa.eu,False,1,,,,"[{'title': 'Original declaration - 16-07-2024', 'url': 'https://www.europarl.europa.eu/erpl-app-public/mep-documents/DPI/10/c5846086-c280-4693-ad04-abf21f504722_1718701237281.pdf'}]",integrity_watch,Group of the European People's Party,"['Committee on Agriculture and Rural Development', ""Committee on Women's Rights and Gender Equality""]","['Committee on Regional Development', 'Committee on Civil Liberties, Justice and Home Affairs']","['Delegation for relations with the United States', 'Delegation to the OACPS-EU Joint Parliamentary Assembly', 'Delegation to the Africa-EU Parliamentary Assembly']",https://en.wikipedia.org/wiki/Maria_Walsh_(politician),Q63978256
