full_name,full_name_title,title,link
Barry ANDREWS,Barry Andrews,Labour MEP Aodhán Ó Ríordáin says left-wing parties should unite behind one candidate for president,https://www.independent.ie/irish-news/labour-mep-aodhan-o-riordain-says-left-wing-parties-should-unite-behind-one-candidate-for-president/a127030298.html
Barry ANDREWS,Barry Andrews,"Europe’s clean energy agenda under threat from lack of finance, MEP warns",https://www.irishtimes.com/business/economy/2025/01/17/europes-clean-energy-agenda-under-threat-from-lack-of-finance-mep-warns/
Barry ANDREWS,Barry Andrews,Government urged to hold firm on Occupied Territories Bill as fears grow it may be watered down,https://www.thejournal.ie/occupied-territories-bill-water-down-6593399-Jan2025/
Barry ANDREWS,Barry Andrews,Irish charity shops seeing 'massive influx' of Shein clothes - often never worn,https://www.thejournal.ie/shein-china-workers-ireland-6592685-Jan2025/
Barry ANDREWS,Barry Andrews,Meta's scrapping of fact-checking in the US has emboldened disinformers; now the EU is on alert,https://www.thejournal.ie/meta-factchecking-end-united-states-european-commission-6590488-Jan2025/
Nina CARBERRY,Nina Carberry,"Letters: Relief for Middle East, but given the bloodshed it is no time for triumphalism",https://www.independent.ie/opinion/letters/letters-relief-for-middle-east-but-given-the-bloodshed-it-is-no-time-for-triumphalism/a1094376933.html
Regina DOHERTY,Regina Doherty,These are the MEPs on the EP’s two special committees,https://www.euractiv.com/section/politics/news/these-are-the-meps-on-the-eps-two-special-committees/
Regina DOHERTY,Regina Doherty,Ian O’Doherty: Europe is bound to lose any battle with Elon Musk about what we get to say and hear,https://www.independent.ie/opinion/comment/ian-odoherty-europe-is-bound-to-lose-any-battle-with-elon-musk-about-what-we-get-to-say-and-hear/a102621805.html
Regina DOHERTY,Regina Doherty,Meta's scrapping of fact-checking in the US has emboldened disinformers; now the EU is on alert,https://www.thejournal.ie/meta-factchecking-end-united-states-european-commission-6590488-Jan2025/
Billy KELLEHER,Billy Kelleher,Meta launches legal action against Irish regulator over €251m fine,https://www.independent.ie/business/technology/meta-launches-legal-action-against-irish-regulator-over-251m-fine/a755075821.html
Seán KELLY,Seán Kelly,Labour MEP Aodhán Ó Ríordáin says left-wing parties should unite behind one candidate for president,https://www.independent.ie/irish-news/labour-mep-aodhan-o-riordain-says-left-wing-parties-should-unite-behind-one-candidate-for-president/a127030298.html
Seán KELLY,Seán Kelly,"Letters: Not all heroes wear capes, in fact they sometimes even milk the cows",https://www.independent.ie/opinion/letters/letters-not-all-heroes-wear-capes-in-fact-they-sometimes-even-milk-the-cows/a532873941.html
Ciaran MULLOOLY,Ciaran Mullooly,These are the MEPs on the EP’s two special committees,https://www.euractiv.com/section/politics/news/these-are-the-meps-on-the-eps-two-special-committees/
Cynthia NÍ MHURCHÚ,Cynthia Ní Mhurchú,Labour MEP Aodhán Ó Ríordáin says left-wing parties should unite behind one candidate for president,https://www.independent.ie/irish-news/labour-mep-aodhan-o-riordain-says-left-wing-parties-should-unite-behind-one-candidate-for-president/a127030298.html
Aodhán Ó RÍORDÁIN,Aodhán Ó Ríordáin,Labour MEP Aodhán Ó Ríordáin says left-wing parties should unite behind one candidate for president,https://www.independent.ie/irish-news/labour-mep-aodhan-o-riordain-says-left-wing-parties-should-unite-behind-one-candidate-for-president/a127030298.html
Maria WALSH,Maria Walsh,Maria Walsh: Why Mark Zuckerberg’s changes will make the digital world a darker place – the EU must hold Meta to account,https://www.independent.ie/opinion/comment/maria-walsh-why-mark-zuckerbergs-changes-will-make-the-digital-world-a-darker-place-the-eu-must-hold-meta-to-account/a606141142.html
